time,symbol,seqno,price
1473411962,APPL,0.0,1623.0
1473411962,APPL,0.0,1623.0
1473411963,APPL,0.0,1623.0
1473411963,APPL,0.0,1623.0
1473411963,APPL,1.0,1649.0
1473411963,APPL,1.0,1649.0
1473411964,APPL,1.0,1649.0
1473411964,APPL,1.0,1649.0
1473411964,APPL,2.0,1642.0
1473411964,APPL,2.0,1642.0
1473411965,APPL,2.0,1642.0
1473411965,APPL,2.0,1642.0
1473411965,APPL,3.0,1636.0
1473411965,APPL,3.0,1636.0
1473411966,APPL,3.0,1636.0
1473411966,APPL,3.0,1636.0
1473411966,APPL,4.0,1669.0
1473411966,APPL,4.0,1669.0
1473411967,APPL,4.0,1669.0
1473411967,APPL,4.0,1669.0
1473411967,APPL,5.0,1639.0
1473411967,APPL,5.0,1639.0
1473411968,APPL,5.0,1639.0
1473411968,APPL,5.0,1639.0
1473411968,APPL,6.0,1611.0
1473411968,APPL,6.0,1611.0
1473411969,APPL,6.0,1611.0
1473411969,APPL,6.0,1611.0
1473411969,APPL,7.0,1660.0
1473411969,APPL,7.0,1660.0
1473411969,APPL,7.0,1660.0
1473411970,APPL,7.0,1660.0
1473411970,APPL,8.0,1657.0
1473411970,APPL,8.0,1657.0
1473411971,APPL,8.0,1657.0
1473411971,APPL,8.0,1657.0
1473411971,APPL,9.0,1509.0
1473411971,APPL,9.0,1509.0
1473411972,APPL,9.0,1509.0
1473411972,APPL,9.0,1509.0
1473411972,APPL,10.0,1514.0
1473411972,APPL,10.0,1514.0
1473411972,APPL,10.0,1514.0
1473411973,APPL,10.0,1514.0
1473411973,APPL,11.0,1676.0
1473411973,APPL,11.0,1676.0
1473411974,APPL,11.0,1676.0
1473411974,APPL,11.0,1676.0
1473411974,APPL,12.0,1596.0
1473411974,APPL,12.0,1596.0
1473411974,APPL,12.0,1596.0
1473411975,APPL,12.0,1596.0
1473411975,APPL,13.0,1527.0
1473411975,APPL,13.0,1527.0
1473411975,APPL,13.0,1527.0
1473411975,APPL,13.0,1527.0
1473411976,APPL,14.0,1643.0
1473411976,APPL,14.0,1643.0
1473411976,APPL,14.0,1643.0
1473411976,APPL,14.0,1643.0
1473411977,APPL,15.0,1632.0
1473411977,APPL,15.0,1632.0
1473411977,APPL,15.0,1632.0
1473411977,APPL,15.0,1632.0
1473411978,APPL,16.0,1595.0
1473411978,APPL,16.0,1595.0
1473411978,APPL,16.0,1595.0
1473411979,APPL,16.0,1595.0
1473411979,APPL,17.0,1565.0
1473411979,APPL,17.0,1565.0
1473411979,APPL,17.0,1565.0
1473411979,APPL,17.0,1565.0
1473411980,APPL,18.0,1521.0
1473411980,APPL,18.0,1521.0
1473411980,APPL,18.0,1521.0
1473411980,APPL,18.0,1521.0
1473411981,APPL,19.0,1501.0
1473411981,APPL,19.0,1501.0
1473411982,APPL,19.0,1501.0
1473411982,APPL,19.0,1501.0
1473411982,APPL,20.0,1579.0
1473411982,APPL,20.0,1579.0
1473411982,APPL,20.0,1579.0
1473411983,APPL,20.0,1579.0
1473411983,APPL,21.0,1511.0
